"FROM STATION ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude","Location"
117,"Wilton Ave & Belmont Ave",27,27,"In Service",41.94023192,-87.65294373,"(41.940231918108594, -87.65294373035431)"
301,"Clark St & Schiller St",19,19,"In Service",41.907993,-87.631501,"(41.907993, -87.631501)"
465,"Marine Dr & Ainslie St",23,23,"In Service",41.9716,-87.650154,"(41.9716, -87.650154)"
333,"Ashland Ave & Blackhawk St",15,15,"In Service",41.907066,-87.667252,"(41.907066, -87.667252)"
48,"Larrabee St & Kingsbury St",43,43,"In Service",41.897764,-87.642884,"(41.897764, -87.642884)"
280,"Morgan St & 31st St",11,11,"In Service",41.8378,-87.65114,"(41.8378, -87.65114)"
174,"Canal St & Madison St",35,35,"In Service",41.882091,-87.639833,"(41.882091, -87.639833)"
277,"Ashland Ave & Grand Ave",15,15,"In Service",41.891072,-87.666611,"(41.891072, -87.666611)"
54,"Ogden Ave & Chicago Ave",19,19,"In Service",41.89636246,-87.65406127,"(41.896362458, -87.6540612729)"
130,"Damen Ave & Division St",19,19,"In Service",41.903266,-87.678435,"(41.903266, -87.678435)"
94,"Clark St & Armitage Ave",31,31,"In Service",41.918306,-87.636282,"(41.918306, -87.636282)"
69,"Damen Ave & Pierce Ave",23,23,"In Service",41.90939601,-87.67769193,"(41.9093960065, -87.6776919292)"
240,"Sheridan Rd & Irving Park Rd",27,27,"In Service",41.954245,-87.654406,"(41.954245, -87.654406)"
113,"Sheridan Rd & Argyle St",15,15,"In Service",41.97328682,-87.65475959,"(41.97328682025979, -87.65475958585739)"
127,"Lincoln Ave & Fullerton Ave",15,15,"In Service",41.92416103,-87.64638037,"(41.924161029067626, -87.64638036489487)"
50,"Clark St & Ida B Wells Dr",35,35,"In Service",41.87593267,-87.63058454,"(41.8759326655, -87.6305845355)"
250,"Ashland Ave & Wellington Ave",19,19,"In Service",41.936083,-87.669807,"(41.936083, -87.669807)"
213,"Leavitt St & North Ave",15,15,"In Service",41.91050937,-87.68238902,"(41.91050936666395, -87.6823890209198)"
199,"Wabash Ave & Grand Ave",31,31,"In Service",41.891466,-87.626761,"(41.891466, -87.626761)"
141,"Clark St & Lincoln Ave",23,23,"In Service",41.915689,-87.6346,"(41.915689, -87.6346)"
61,"Wood St & Milwaukee Ave",19,19,"In Service",41.907655,-87.672552,"(41.907655, -87.672552)"
13,"Wilton Ave & Diversey Pkwy",35,35,"In Service",41.932418,-87.652705,"(41.932418, -87.652705)"
152,"Lincoln Ave & Diversey Pkwy",15,15,"In Service",41.932225,-87.658617,"(41.932225, -87.658617)"
118,"Sedgwick St & North Ave",19,19,"In Service",41.911386,-87.638677,"(41.911386, -87.638677)"
293,"Broadway & Wilson - Truman College Vaccination Site",23,23,"In Service",41.965221,-87.658139,"(41.965221, -87.658139)"
93,"Sheffield Ave & Willow St",15,15,"In Service",41.913688,-87.652855,"(41.913688, -87.652855)"
29,"Noble St & Milwaukee Ave",15,15,"In Service",41.90068,-87.6626,"(41.90068, -87.6626)"
268,"DuSable Lake Shore Dr & North Blvd",39,39,"In Service",41.911722,-87.626804,"(41.911722, -87.626804)"
52,"Michigan Ave & Lake St",35,35,"In Service",41.886024,-87.624117,"(41.886024, -87.624117)"
176,"Clark St & Elm St",39,39,"In Service",41.902973,-87.63128,"(41.902973, -87.63128)"
286,"Franklin St & Adams St (Temp)",15,15,"In Service",41.87943409,-87.63550401,"(41.87943409140013, -87.63550400733948)"
350,"Ashland Ave & Chicago Ave",15,15,"In Service",41.89517271,-87.66754702,"(41.8951727127816, -87.66754701733589)"
214,"Damen Ave & Grand Ave",23,23,"In Service",41.89239445,-87.67688513,"(41.892394452962705, -87.67688512802124)"
51,"Clark St & Randolph St",43,43,"In Service",41.88457623,-87.63188991,"(41.884576228, -87.63188991)"
305,"Western Ave & Division St",23,23,"In Service",41.902893,-87.687275,"(41.902893, -87.687275)"
217,"Elizabeth (May) St & Fulton St",15,15,"In Service",41.88661649,-87.65803993,"(41.886616486027656, -87.6580399274826)"
255,"Indiana Ave & Roosevelt Rd",39,39,"In Service",41.867888,-87.623041,"(41.867888, -87.623041)"
209,"Normal Ave & Archer Ave",11,11,"In Service",41.849527,-87.640591,"(41.849527, -87.640591)"
259,"California Ave & Francis Pl (Temp)",15,15,"In Service",41.91849115,-87.6974228,"(41.91849115368695, -87.69742280244827)"
126,"Clark St & North Ave",15,15,"In Service",41.911974,-87.631942,"(41.911974, -87.631942)"
315,"Elston Ave & Wabansia Ave",23,23,"In Service",41.912919,-87.664169,"(41.912919, -87.664169)"
87,"Racine Ave & Fullerton Ave",19,19,"In Service",41.92556258,-87.65840426,"(41.92556258, -87.65840426)"
66,"Clinton St & Lake St",23,23,"In Service",41.885637,-87.641823,"(41.885637, -87.641823)"
289,"Wells St & Concord Ln",19,19,"In Service",41.912133,-87.634656,"(41.912133, -87.634656)"
245,"Clarendon Ave & Junior Ter",23,23,"In Service",41.961004,-87.649603,"(41.961004, -87.649603)"
222,"Milwaukee Ave & Rockwell St",19,19,"In Service",41.92019556,-87.6926592,"(41.92019556200566, -87.69265919923781)"
30,"Ashland Ave & Augusta Blvd",15,15,"In Service",41.899643,-87.6677,"(41.899643, -87.6677)"
291,"Wells St & Evergreen Ave",19,19,"In Service",41.906724,-87.63483,"(41.906724, -87.63483)"
26,"New St & Illinois St",31,31,"In Service",41.89084704,-87.61861682,"(41.890847040623804, -87.61861681938171)"
31,"Franklin St & Chicago Ave",23,23,"In Service",41.89674697,-87.63566762,"(41.896746973093805, -87.63566762208939)"
73,"Jefferson St & Monroe St",19,19,"In Service",41.88032963,-87.64274597,"(41.880329633634624, -87.64274597167967)"
210,"Ashland Ave & Division St",27,27,"In Service",41.90345,-87.667747,"(41.90345, -87.667747)"
60,"Dayton St & North Ave",19,19,"In Service",41.91057804,-87.64942193,"(41.9105780349, -87.6494219288)"
25,"Michigan Ave & Pearson St",23,23,"In Service",41.89766,-87.62351,"(41.89766, -87.62351)"
157,"DuSable Lake Shore Dr & Wellington Ave",15,15,"In Service",41.93668845,-87.63682902,"(41.9366884494997, -87.63682901859283)"
318,"Southport Ave & Irving Park Rd",15,15,"In Service",41.954177,-87.664358,"(41.954177, -87.664358)"
56,"Desplaines St & Kinzie St",27,27,"In Service",41.88871604,-87.64444785,"(41.888716036, -87.6444478533)"
115,"Sheffield Ave & Wellington Ave",23,23,"In Service",41.93625348,-87.6526621,"(41.9362534831413, -87.65266209840775)"
169,"Canal St & Harrison St",15,15,"In Service",41.874255,-87.639573,"(41.874255, -87.639573)"
181,"LaSalle St & Illinois St",31,31,"In Service",41.890762,-87.631697,"(41.890762, -87.631697)"
14,"Morgan St & 18th St",15,15,"In Service",41.858086,-87.651073,"(41.858086, -87.651073)"
111,"Sedgwick St & Huron St",27,27,"In Service",41.894666,-87.638437,"(41.894666, -87.638437)"
128,"Damen Ave & Chicago Ave",19,19,"In Service",41.895769,-87.67722,"(41.895769, -87.67722)"
47,"State St & Kinzie St",31,31,"In Service",41.88937547,-87.62707651,"(41.889375466631684, -87.62707650661469)"
143,"Sedgwick St & Webster Ave",15,15,"In Service",41.922167,-87.638888,"(41.922167, -87.638888)"
306,"Sheridan Rd & Buena Ave",19,19,"In Service",41.958494,-87.654966,"(41.958494, -87.654966)"
226,"Racine Ave & Belmont Ave",15,15,"In Service",41.939743,-87.658865,"(41.939743, -87.658865)"
220,"Clark St & Drummond Pl",23,23,"In Service",41.931248,-87.644336,"(41.931248, -87.644336)"
123,"California Ave & Milwaukee Ave",15,15,"In Service",41.922695,-87.697153,"(41.922695, -87.697153)"
194,"Wabash Ave & Wacker Pl",19,19,"In Service",41.886875,-87.62603,"(41.886875, -87.62603)"
219,"Damen Ave & Cortland St",19,19,"In Service",41.915983,-87.677335,"(41.915983, -87.677335)"
231,"Sheridan Rd & Montrose Ave",23,23,"In Service",41.96167,-87.65464,"(41.96167, -87.65464)"
158,"Milwaukee Ave & Wabansia Ave",15,15,"In Service",41.912616,-87.681391,"(41.912616, -87.681391)"
90,"Millennium Park",47,47,"In Service",41.8810317,-87.62408432,"(41.8810317, -87.62408432)"
340,"Clark St & Wrightwood Ave",15,15,"In Service",41.929546,-87.643118,"(41.929546, -87.643118)"
36,"Franklin St & Jackson Blvd",39,39,"In Service",41.87770796,-87.63532114,"(41.8777079559, -87.6353211408)"
67,"Sheffield Ave & Fullerton Ave",27,27,"In Service",41.92560188,-87.65370804,"(41.9256018819, -87.6537080423)"
337,"Clark St & Chicago Ave",19,19,"In Service",41.89675,-87.63089,"(41.89675, -87.63089)"
49,"Dearborn St & Monroe St",39,39,"In Service",41.88131982,-87.62952092,"(41.881319815, -87.6295209193)"
324,"Stockton Dr & Wrightwood Ave",15,15,"In Service",41.93132,-87.638742,"(41.93132, -87.638742)"
234,"Clark St & Montrose Ave",19,19,"In Service",41.961588,-87.666036,"(41.961588, -87.666036)"
75,"Canal St & Jackson Blvd",43,43,"In Service",41.877245,-87.639366,"(41.877245, -87.639366)"
260,"Kedzie Ave & Milwaukee Ave",35,35,"In Service",41.929567,-87.707857,"(41.929567, -87.707857)"
302,"Sheffield Ave & Wrightwood Ave",31,31,"In Service",41.928712,-87.653833,"(41.928712, -87.653833)"
304,"Broadway & Waveland Ave",15,15,"In Service",41.949074,-87.648636,"(41.949074, -87.648636)"
216,"California Ave & Division St",15,15,"In Service",41.903029,-87.697474,"(41.903029, -87.697474)"
42,"Wabash Ave & Cermak Rd",11,11,"In Service",41.852619,-87.626488,"(41.852619, -87.626488)"
195,"Columbus Dr & Randolph St",55,55,"In Service",41.884728,-87.619521,"(41.884728, -87.619521)"
303,"Broadway & Cornelia Ave",23,23,"In Service",41.945529,-87.646439,"(41.945529, -87.646439)"
319,"Greenview Ave & Diversey Pkwy",15,15,"In Service",41.93258963,-87.66593635,"(41.93258963429789, -87.66593635082245)"
91,"Clinton St & Washington Blvd",31,31,"In Service",41.88338,-87.64117,"(41.88338, -87.64117)"
185,"Stave St & Armitage Ave",11,11,"In Service",41.917741,-87.691392,"(41.917741, -87.691392)"
28,"Larrabee St & Menomonee St",15,15,"In Service",41.91468,-87.64332,"(41.91468, -87.64332)"
81,"Daley Center Plaza",20,20,"In Service",41.884241,-87.629634,"(41.884241, -87.629634)"
283,"LaSalle St & Jackson Blvd",35,35,"In Service",41.878166,-87.631929,"(41.878166, -87.631929)"
45,"Michigan Ave & Ida B Wells Dr",15,15,"In Service",41.876243,-87.624426,"(41.876243, -87.624426)"
273,"Michigan Ave & 18th St",23,23,"In Service",41.857813,-87.62455,"(41.857813, -87.62455)"
192,"Canal St & Adams St",47,47,"In Service",41.879255,-87.639904,"(41.879255, -87.639904)"
71,"Sangamon St & Lake St",23,23,"In Service",41.88577925,-87.65102461,"(41.88577925240433, -87.65102460980414)"
300,"Broadway & Barry Ave",19,19,"In Service",41.93758232,-87.64409781,"(41.93758231600629, -87.6440978050232)"
326,"Clark St & Leland Ave",19,19,"In Service",41.96705643,-87.66699046,"(41.96705642894563, -87.6669904589653)"
236,"Sedgwick St & Schiller St",15,15,"In Service",41.907626,-87.638566,"(41.907626, -87.638566)"
134,"Peoria St & Jackson Blvd",19,19,"In Service",41.8776416,-87.64961779,"(41.8776415962753, -87.64961779117584)"
233,"Sangamon St & Washington Blvd",15,15,"In Service",41.883165,-87.6511,"(41.883165, -87.6511)"
186,"Ogden Ave & Race Ave",15,15,"In Service",41.891795,-87.658751,"(41.891795, -87.658751)"
122,"Ogden Ave & Congress Pkwy",15,15,"In Service",41.87501,-87.67328,"(41.87501, -87.67328)"
58,"Elston Ave & Cortland St",23,23,"In Service",41.91643343,-87.66674638,"(41.91643342912655, -87.66674637794495)"
349,"Halsted St & Wrightwood Ave",15,15,"In Service",41.929143,-87.649077,"(41.929143, -87.649077)"
285,"Wood St & Hubbard St",19,19,"In Service",41.889899,-87.671473,"(41.889899, -87.671473)"
343,"Racine Ave & Wrightwood Ave",15,15,"In Service",41.928887,-87.658971,"(41.928887, -87.658971)"
77,"Clinton St & Madison St",31,31,"In Service",41.882242,-87.641066,"(41.882242, -87.641066)"
299,"Halsted St & Roscoe St",15,15,"In Service",41.94367,-87.64895,"(41.94367, -87.64895)"
274,"Racine Ave & 15th St",15,15,"In Service",41.861267,-87.656625,"(41.861267, -87.656625)"
37,"Dearborn St & Adams St",19,19,"In Service",41.87935636,-87.62979104,"(41.8793563587, -87.6297910363)"
167,"Damen Ave & Coulter St",7,7,"In Service",41.8492,-87.67564,"(41.8492, -87.67564)"
292,"Southport Ave & Clark St",11,11,"In Service",41.957081,-87.664199,"(41.957081, -87.664199)"
80,"Aberdeen St & Monroe St",19,19,"In Service",41.880419,-87.655519,"(41.880419, -87.655519)"
290,"Kedzie Ave & Palmer Ct",15,15,"In Service",41.921525,-87.707322,"(41.921525, -87.707322)"
135,"Halsted St & 21st St",11,11,"In Service",41.85377981,-87.64660299,"(41.85377981072743, -87.6466029882431)"
146,"Loomis St & Jackson Blvd",19,19,"In Service",41.877945,-87.662007,"(41.877945, -87.662007)"
164,"Franklin St & Lake St",27,27,"In Service",41.885837,-87.6355,"(41.885837, -87.6355)"
336,"Cottage Grove Ave & 47th St",15,15,"In Service",41.809855,-87.606755,"(41.809855, -87.606755)"
84,"Milwaukee Ave & Grand Ave",19,19,"In Service",41.891578,-87.648384,"(41.891578, -87.648384)"
110,"Dearborn St & Erie St",27,27,"In Service",41.893992,-87.629318,"(41.893992, -87.629318)"
62,"McCormick Place",27,27,"In Service",41.85137517,-87.61883465,"(41.8513751729, -87.6188346489)"
99,"McClurg Ct & Ohio St",19,19,"In Service",41.89259212,-87.61728913,"(41.892592119709725, -87.61728912591934)"
197,"Michigan Ave & Madison St",19,19,"In Service",41.882134,-87.625125,"(41.882134, -87.625125)"
24,"Fairbanks Ct & Grand Ave",15,15,"In Service",41.89184737,-87.6205802,"(41.89184737210993, -87.62058019638062)"
342,"Wolcott Ave & Polk St",23,23,"In Service",41.871262,-87.673688,"(41.871262, -87.673688)"
242,"Damen Ave & Leland Ave",15,15,"In Service",41.967094,-87.679028,"(41.967094, -87.679028)"
317,"Wood St & Taylor St (Temp)",23,23,"In Service",41.86926522,-87.67373085,"(41.869265218438194, -87.67373085021973)"
175,"Wells St & Polk St",19,19,"In Service",41.87273154,-87.63351649,"(41.872731542263075, -87.63351649045944)"
232,"Pine Grove Ave & Waveland Ave",23,23,"In Service",41.94947274,-87.64645279,"(41.94947274088333, -87.64645278453827)"
166,"Ashland Ave & Wrightwood Ave",15,15,"In Service",41.92883,-87.668507,"(41.92883, -87.668507)"
23,"Orleans St & Elm St",15,15,"In Service",41.902924,-87.637715,"(41.902924, -87.637715)"
332,"Burling St & Diversey Pkwy",19,19,"In Service",41.93314,-87.64776,"(41.93314, -87.64776)"
198,"Green St & Madison St",27,27,"In Service",41.881892,-87.648789,"(41.881892, -87.648789)"
168,"Michigan Ave & 14th St",19,19,"In Service",41.864059,-87.623727,"(41.864059, -87.623727)"
74,"Kingsbury St & Erie St",23,23,"In Service",41.89380806,-87.64169723,"(41.89380805624359, -87.64169722795485)"
339,"Emerald Ave & 31st St",11,11,"In Service",41.838198,-87.645143,"(41.838198, -87.645143)"
308,"Seeley Ave & Roscoe St",11,11,"In Service",41.943403,-87.679618,"(41.943403, -87.679618)"
59,"Wabash Ave & Roosevelt Rd",23,23,"In Service",41.867227,-87.625961,"(41.867227, -87.625961)"
98,"LaSalle St & Washington St",15,15,"In Service",41.882664,-87.63253,"(41.882664, -87.63253)"
225,"Halsted St & Dickens Ave",23,23,"In Service",41.919936,-87.64883,"(41.919936, -87.64883)"
287,"Franklin St & Monroe St",31,31,"In Service",41.880317,-87.635185,"(41.880317, -87.635185)"
114,"Sheffield Ave & Waveland Ave",27,27,"In Service",41.949399,-87.654529,"(41.949399, -87.654529)"
212,"Wells St & Hubbard St",31,31,"In Service",41.889906,-87.634266,"(41.889906, -87.634266)"
53,"Wells St & Huron St",27,27,"In Service",41.894722,-87.634362,"(41.894722, -87.634362)"
16,"Paulina Ave & North Ave",15,15,"In Service",41.90985465,-87.66993016,"(41.90985465216731, -87.66993016004562)"
229,"Southport Ave & Roscoe St",19,19,"In Service",41.943739,-87.66402,"(41.943739, -87.66402)"
329,"DuSable Lake Shore Dr & Diversey Pkwy",23,23,"In Service",41.932588,-87.636427,"(41.932588, -87.636427)"
256,"Broadway & Sheridan Rd",15,15,"In Service",41.952833,-87.649993,"(41.952833, -87.649993)"
177,"Theater on the Lake",31,31,"In Service",41.926277,-87.630834,"(41.926277, -87.630834)"
106,"State St & Pearson St",27,27,"In Service",41.897448,-87.628722,"(41.897448, -87.628722)"
313,"Lakeview Ave & Fullerton Pkwy",19,19,"In Service",41.925858,-87.638973,"(41.925858, -87.638973)"
183,"Damen Ave & Thomas St (Augusta Blvd)",23,23,"In Service",41.901315,-87.677409,"(41.901315, -87.677409)"
165,"Clark St & Grace St",23,23,"In Service",41.95078,-87.659172,"(41.95078, -87.659172)"
296,"Broadway & Belmont Ave",19,19,"Not In Service",41.940106,-87.645451,"(41.940106, -87.645451)"
35,"Streeter Dr & Grand Ave",47,47,"In Service",41.892278,-87.612043,"(41.892278, -87.612043)"
144,"Larrabee St & Webster Ave",19,19,"In Service",41.921822,-87.64414,"(41.921822, -87.64414)"
230,"Wood St & Webster Ave",19,19,"In Service",41.92105673,-87.67279744,"(41.92105672992757, -87.67279744148254)"
254,"Pine Grove Ave & Irving Park Rd",15,15,"In Service",41.954383,-87.648043,"(41.954383, -87.648043)"
21,"Aberdeen St & Jackson Blvd",23,23,"In Service",41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
137,"Morgan Ave & 14th Pl",15,15,"In Service",41.862378,-87.651062,"(41.862378, -87.651062)"
44,"State St & Randolph St",23,23,"In Service",41.88462107,-87.62783423,"(41.88462107257936, -87.62783423066139)"
15,"Racine Ave & 18th St",15,15,"In Service",41.858166,-87.656495,"(41.858166, -87.656495)"
100,"Orleans St & Merchandise Mart Plaza",35,35,"In Service",41.888243,-87.63639,"(41.888243, -87.63639)"
227,"Southport Ave & Waveland Ave",23,23,"In Service",41.94815,-87.66394,"(41.94815, -87.66394)"
294,"Broadway & Berwyn Ave",15,15,"In Service",41.978353,-87.659753,"(41.978353, -87.659753)"
347,"Ashland Ave & Grace St",15,15,"In Service",41.950687,-87.6687,"(41.950687, -87.6687)"
267,"Lake Park Ave & 47th St",15,15,"In Service",41.809443,-87.591875,"(41.809443, -87.591875)"
224,"Halsted St & Willow St",19,19,"In Service",41.913865,-87.648755,"(41.913865, -87.648755)"
131,"Lincoln Ave & Belmont Ave (Temp)",15,15,"In Service",41.93953162,-87.67111436,"(41.93953161982257, -87.6711143553257)"
156,"Clark St & Wellington Ave",15,15,"In Service",41.93649682,-87.64753866,"(41.9364968219, -87.6475386582)"
97,"Field Museum",55,55,"In Service",41.865312,-87.617867,"(41.865312, -87.617867)"
325,"Clark St & Winnemac Ave",19,19,"In Service",41.97334764,-87.66785547,"(41.973347640473044, -87.6678554713726)"
27,"Larrabee St & North Ave",19,19,"In Service",41.91021,-87.6435,"(41.91021, -87.6435)"
86,"Eckhart Park",19,19,"In Service",41.89637337,-87.66098386,"(41.89637337, -87.66098386)"
85,"Michigan Ave & Oak St",23,23,"In Service",41.90096039,-87.62377664,"(41.90096039, -87.62377664)"
188,"Greenview Ave & Fullerton Ave",15,15,"In Service",41.92533,-87.6658,"(41.92533, -87.6658)"
312,"Clarendon Ave & Gordon Ter",15,15,"In Service",41.95786652,-87.64950514,"(41.95786652415174, -87.64950513839722)"
46,"Wells St & Walton St",19,19,"In Service",41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
327,"Sheffield Ave & Webster Ave",19,19,"In Service",41.92154,-87.653818,"(41.92154, -87.653818)"
239,"Western Ave & Leland Ave",19,19,"In Service",41.9663998,-87.68870428,"(41.966399801840986, -87.68870428204536)"
17,"Honore St & Division St",23,23,"In Service",41.903119,-87.673935,"(41.903119, -87.673935)"
258,"Logan Blvd & Elston Ave",27,27,"In Service",41.929465,-87.684158,"(41.929465, -87.684158)"
129,"Blue Island Ave & 18th St",15,15,"In Service",41.857556,-87.661535,"(41.857556, -87.661535)"
57,"Clinton St & Roosevelt Rd",15,15,"In Service",41.86711778,-87.64108796,"(41.8671177825, -87.6410879593)"
154,"Southport Ave & Belmont Ave",15,15,"In Service",41.93947775,-87.66374767,"(41.93947775040509, -87.6637476682663)"
248,"Woodlawn Ave & 55th St",19,19,"In Service",41.795264,-87.596471,"(41.795264, -87.596471)"
